System Type,Name1,Name2,Selection Method,Confirmation Method,zph1l,zph1m,zph1u,zsp1,f_zsp1,z1,z1_type,zph2l,zph2m,zph2u,zsp2,n_zsp2,z2,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,f_Sep,Paper(s),BibCode(s),DOI(s),Notes
Binary Quasar Candidate,J154515.98+275601.0,J154515.73+275559.2,Optical Photometry,-100,1.45,1.525,1.85,0.0,,1.525,phot,0.45,0.625,0.7,0.0,,0.625,phot,15:45:15.98,+27:56:1.1,236.31658333333328,27.93363888888889,15:45:15.73,+27:55:59.3,236.31554166666663,27.93313888888889,J2000,Optical,SDSS,19.84,SDSS g,asinh mag,20.69,SDSS g,asinh mag,3.74,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J155908.39+264031.8,J155908.21+264036.7,Optical Photometry,-100,0.75,0.925,1.1,0.0,,0.925,phot,2.2,2.275,2.65,0.0,,2.275,phot,15:59:8.39,+26:40:31.9,239.7849583333333,26.67552777777778,15:59:8.22,+26:40:36.7,239.78424999999996,26.676861111111112,J2000,Optical,SDSS,20.02,SDSS g,asinh mag,20.44,SDSS g,asinh mag,5.37,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J160032.31+163347.2,J160032.54+163348.5,Optical Photometry,-100,1.45,1.725,2.0,0.0,,1.725,phot,1.45,1.575,1.9,0.0,,1.575,phot,16:0:32.31,+16:33:47.2,240.13462499999997,16.563111111111112,16:0:32.54,+16:33:48.5,240.1355833333333,16.563472222222224,J2000,Optical,SDSS,20.79,SDSS g,asinh mag,21.11,SDSS g,asinh mag,3.58,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J160926.28+075324.4,J160926.58+075323.1,Optical Photometry,-100,2.2,2.325,2.6,0.0,,2.325,phot,0.35,0.725,0.9,0.0,,0.725,phot,16:9:26.29,+7:53:24.4,242.35954166666662,7.890111111111111,16:9:26.58,+7:53:23.2,242.36074999999994,7.889777777777777,J2000,Optical,SDSS,19.79,SDSS g,asinh mag,21.13,SDSS g,asinh mag,4.57,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J162419.98+350644.4,J162419.80+350649.6,Optical Photometry,-100,0.75,0.925,1.1,0.0,,0.925,phot,1.45,1.575,1.9,0.0,,1.575,phot,16:24:19.99,+35:6:44.5,246.08329166666658,35.11236111111111,16:24:19.81,+35:6:49.7,246.08254166666663,35.11380555555556,J2000,Optical,SDSS,20.72,SDSS g,asinh mag,20.8,SDSS g,asinh mag,5.63,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J162847.75+413045.4,J162848.06+413043.1,Optical Photometry,-100,1.35,1.525,1.7,0.0,,1.525,phot,1.95,2.075,2.2,0.831,,0.831,spec,16:28:47.75,+41:30:45.4,247.19895833333328,41.51261111111111,16:28:48.07,+41:30:43.2,247.20029166666663,41.512,J2000,Optical,SDSS,19.81,SDSS g,asinh mag,20.4,SDSS g,asinh mag,4.22,,Myers+2007 ; Myers+2008,2007ApJ...658...99M ; 2008ApJ...678..635M,https://doi.org/10.1086/511520 ; https://doi.org/10.1086/533491,Spec-z from Myers+2008. Spectroscopic follow-up is required.
Binary Quasar Candidate,J164130.81+230837.6,J164130.90+230843.0,Optical Photometry,-100,0.85,1.025,1.4,0.0,,1.025,phot,1.05,1.475,1.6,0.0,,1.475,phot,16:41:30.81,+23:8:37.7,250.37837499999998,23.143805555555556,16:41:30.91,+23:8:43.0,250.37879166666664,23.14527777777778,J2000,Optical,SDSS,20.35,SDSS g,asinh mag,21.16,SDSS g,asinh mag,5.5,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J164928.79+173306.5,J164928.99+173308.5,Optical Photometry,-100,1.9,2.075,2.2,0.0,,2.075,phot,1.9,2.075,2.2,0.0,,2.075,phot,16:49:28.79,+17:33:6.5,252.3699583333333,17.551805555555557,16:49:29.0,+17:33:8.6,252.37083333333328,17.55238888888889,J2000,Optical,SDSS,19.34,SDSS g,asinh mag,19.77,SDSS g,asinh mag,3.62,*,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J170735.76+274233.9,J170736.04+274238.5,Optical Photometry,-100,0.4,0.475,0.65,0.0,,0.475,phot,0.9,1.375,1.5,0.0,,1.375,phot,17:7:35.77,+27:42:33.9,256.8990416666666,27.709416666666666,17:7:36.05,+27:42:38.6,256.9002083333333,27.71072222222222,J2000,Optical,SDSS,20.03,SDSS g,asinh mag,21.33,SDSS g,asinh mag,5.96,*,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J205822.47-002003.7,J205822.18-002001.3,Optical Photometry,-100,0.9,1.375,1.55,0.0,,1.375,phot,1.45,1.725,2.1,0.0,,1.725,phot,20:58:22.47,-0:20:3.7,314.593625,-0.3343611111111111,20:58:22.18,-0:20:1.4,314.5924166666666,-0.3337222222222222,J2000,Optical,SDSS,21.37,SDSS g,asinh mag,21.1,SDSS g,asinh mag,4.95,*,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J222423.36-094645.4,J222423.70-094642.6,Optical Photometry,-100,1.5,1.675,2.1,0.0,,1.675,phot,1.45,2.075,2.2,0.0,,2.075,phot,22:24:23.36,-9:46:45.5,336.09733333333327,-9.779305555555556,22:24:23.7,-9:46:42.6,336.09874999999994,-9.778500000000001,J2000,Optical,SDSS,20.31,SDSS g,asinh mag,21.04,SDSS g,asinh mag,5.81,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J230946.52+152145.5,J230946.69+152142.9,Optical Photometry,-100,1.0,1.275,1.45,0.0,,1.275,phot,1.05,1.325,1.45,0.0,,1.325,phot,23:9:46.53,+15:21:45.5,347.44387499999993,15.362638888888888,23:9:46.69,+15:21:43.0,347.4445416666666,15.361944444444443,J2000,Optical,SDSS,20.6,SDSS g,asinh mag,20.83,SDSS g,asinh mag,3.52,*,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
