System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes
Dual AGN,EGSD2 J142033.66+525917.5,EGSD2 J142033.66+525917.5,,Double-Peaked Optical Spectroscopy,0.709,spec,14:20:33.57522,+52:59:17.2848,J2000,Optical,,22.56,R,mag,EGSD2 J142033.66+525917.5,0.709,spec,14:20:33.57522,+52:59:17.2848,Optical,,22.56,V,mag,0.17,,Gerke+2007,2007ApJ...660L..23G,https://doi.org/10.1086/517968,Coordinates pulled from Simbad

Recoil Candidate / Binary SMBH Candidate,SDSS J0927+2943,SDSS J0927+2943,Offset Spectroscopic Emission Lines,,0.713,spec,09:27:12.6487571806,+29:43:44.082086600,J2000,Optical,Gaia,18.63,V,mag,SDSS J0927+2943,0.713,spec,09:27:12.6487571806,+29:43:44.082086600,Optical,Gaia,18.63,V,mag,0,0,Komossa+2008 ; Shields+2009a ; Bogdanović+2009 ; Dotti+2009,2008ApJ...678L..81K ; 2009ApJ...696.1367S ; 2009ApJ...697..288B ; 2009MNRAS.398L..73D,https://doi.org/10.1086/588656 ; https://doi.org/10.1088/0004-637X/696/2/1367 ; https://doi.org/10.1088/0004-637X/697/1/288 ; https://doi.org/10.1111/j.1745-3933.2009.00714.x,Komossa+ argues that J0927 constitutes a likely recoil candidate while Shields+ argues that the superposition hypothesis deserves more attention and Bogdanović+ argues that the system is more likely a binary SMBH system

Dual AGN,Mrk 463,Mrk 463E,,X-ray Imaging / X-ray Spectroscopy,0.0504,spec,13:56:02.886,+18:22:18.84,J2000,Infrared,2MASS,14.22,V,mag,Mrk 463W,0.0504,spec,13:56:02.620,+18:22:17.76,Optical,SDSS,,,mag,3.83,,Bianchi+2008,2008MNRAS.386..105B,https://doi.org/10.1111/j.1365-2966.2008.13078.x,Angular separation comes from separation of the Chandra sources;

Binary SMBH Candidate,J1536+0441,J1536+0441,Double-Peaked Optical Spectroscopic Emission Lines,,0.388,spec,15:36:36.2232172770,+04:41:27.064213945,J2000,Optical,Gaia,17.41,V,mag,J1536+0441,0.388,spec,15:36:36.2232172770,+04:41:27.064213945,Optical,Gaia,17.41,V,mag,0.03792597,,Boroson+2009 ; Wrobel+2009 ; Lauer+2009 ; Decarli+2009 ; Tang+2009,2009Natur.458...53B ; 2009ApJ...699L..22W ; 2009ApJ...703..930L ; 2009ApJ...703L..76D ; 2009ApJ...704.1189T,https://doi.org/10.1038/nature07779 ; https://doi.org/10.1088/0004-637X/699/1/L22 ; https://doi.org/10.1088/0004-637X/703/1/930 ; https://doi.org/10.1088/0004-637X/703/1/L76 ; https://doi.org/10.1088/0004-637X/704/2/1189,

Dual AGN Candidate,EGSD2 J141550.8+520929,EGSD2 J141550.8+520929,Double-Peaked Optical Spectroscopic Emission Lines,,0.61935,spec,14:15:50.75709,+52:09:30.2264,J2000,Optical,,21.362,V,mag,EGSD2 J141550.8+520929,0.62171,spec,14:15:50.75709,+52:09:30.2264,Optical,,21.362,R,mag,,,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956,Individual redshifts are taken from Table 1 in Comerford+2009a and the coordinates are taken from Simbad

Dual AGN Candidate,COSMOS J100043.15+020637.2,COSMOS J100043.15+020637.2,HST Imaging,,0.36,spec,10:00:43.1317731847,+02:06:37.388673197,J2000,Optical,Gaia,19.37,V,mag,COSMOS J100043.15+020637.2,0.36,spec,10:00:43.1317731847,+02:06:37.388673197,Optical,Gaia,19.37,V,mag,0.497,,Comerford+2009b,2009ApJ...702L..82C,https://doi.org/10.1088/0004-637X/702/1/L82,Coordinates from the COSMOS naming convention

Dual AGN Candidate,SDSS J1316+1753,SDSS J1316+1753,Double-Peaked Optical Spectroscopic Emission Lines,,0.15,spec,13:16:42.9045124644,+17:53:32.577824282,J2000,Optical,Gaia,18.33,V,mag,SDSS J1316+1753,0.15,spec,13:16:42.9045124644,+17:53:32.577824282,Optical,Gaia,18.33,V,mag,0.076499088,,Xu+2009,2009ApJ...705L..20X,https://doi.org/10.1088/0004-637X/705/1/L20,

Recoil Candidate / Double-Peaked Emitter,SDSS J1050+3456,SDSS J1050+3456,Offset Optical Spectroscopic Emission Lines,,0.272,spec,10:50:41.3539195849,+34:56:31.441494208,J2000,Optical,Gaia,19.24,V,mag,SDSS J1050+3456,0.272,spec,10:50:41.3539195849,+34:56:31.441494208,Optical,Gaia,19.24,V,mag,0,0,Shields+2009b,2009ApJ...707..936S,https://doi.org/10.1088/0004-637X/707/2/936,

Recoil Candidate / Binary Quasar Candidate,HE0450–2958,HE0450–2958,,Optical Imaging / NIR Imaging,0.285,spec,04:52:30.0811,-29:53:35.226,J2000,Optical,,15.35,V,mag,HE0450–2958 Companion,0.285,spec,04:52:30.0811,-29:53:35.226,Optical,,15.35,V,mag,1.5,,Magain+2005 ; Haehnelt+2006 ; Letawe+2009,2005Natur.437..381M ; 2006MNRAS.366L..22H ; 2009MNRAS.396...78L,https://doi.org/10.1038/nature04013 ; https://doi.org/10.1111/j.1745-3933.2005.00124.x ; https://doi.org/10.1111/j.1365-2966.2009.14740.x,

Binary Quasar / Lens,J0150−2921,J0150−2921,,Optical Spectroscopy / Optical Photometry,1.556,spec_ave,01:50:50.1519206589,-29:23:06.104366116,J2000,Optical,,19.77,V,mag,J0150−2921,1.556,spec_ave,01:51:01.1600395044,-29:20:47.127498500,Optical,,20.34,V,mag,200,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J0135−3021,J0135−3021,,Optical Spectroscopy / Optical Photometry,1.683,spec_ave,01:35:31.0159483102,-30:22:16.156133786,J2000,Optical,,20.69,B,mag,J0135−3021,1.683,spec_ave,01:35:31.4907679592,-30:21:30.976396883,Optical,,20.45,V,mag,46,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J0215−2906,J0215−2906,,Optical Spectroscopy / Optical Photometry,2.264,spec_ave,02:15:48.0907825890,-29:08:41.240356520,J2000,Optical,,20.08,B,mag,J0215−2906,2.264,spec_ave,02:16:03.5201752482,-29:03:59.012905339,Optical,,20.79,V,mag,347,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J0223−2949,J0223−2949,,Optical Spectroscopy / Optical Photometry,1.416,spec_ave,02:22:59.2945594168,-29:51:00.833962236,J2000,Optical,,19.64,V,mag,J0223−2949,1.416,spec_ave,02:23:02.0495405896,-29:47:07.314760677,Optical,,20.50,V,mag,236,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J2228−2857,J2228−2857,,Optical Spectroscopy / Optical Photometry,2.453,spec_ave,22:28:13.7234757319,-28:58:21.933974868,J2000,Optical,,20.64,V,mag,J2228−2857,2.453,spec_ave,22:28:33.0999690435,-28:56:48.848688258,Optical,,19.94,V,mag,270,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J2235−2717,J2235−2717,,Optical Spectroscopy / Optical Photometry,1.810,spec_ave,22:35:16.1010133690,-27:19:44.996043935,J2000,Optical,,18.50,B,mag,J2235−2717,1.810,spec_ave,22:35:24.7186578596,-27:14:49.838240145,Optical,,20.16,B,mag,316,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J2210−3204,J2210−3204,,Optical Spectroscopy / Optical Photometry,2.119,spec_ave,22:09:56.1883070950,-32:05:59.750247729,J2000,Optical,,20.81,B,mag,J2210−3204,2.119,spec_ave,22:10:13.9830383817,-32:01:59.269964955,Optical,,20.71,B,mag,330,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J2203−3133,J2203−3133,,Optical Spectroscopy / Optical Photometry,1.643,spec_ave,22:03:11.7934450383,-31:34:20.799646983,J2000,Optical,,19.75,B,mag,J2203−3133,1.643,spec_ave,22:03:07.0662998525,-31:33:15.883492504,Optical,,19.43,B,mag,89,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J2250−3105,J2250−3105,,Optical Spectroscopy / Optical Photometry,0.637,spec_ave,22:50:22.7053467347,-31:04:45.284261871,J2000,Optical,,18.40,B,mag,J2250−3105,0.637,spec_ave,22:50:41.4336812843,-31:05:14.389966054,Optical,,20.17,B,mag,242,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Binary Quasar / Lens,J2329−2957,J2329−2957,,Optical Spectroscopy / Optical Photometry,1.841,spec_ave,23:29:06.8620271901,-29:57:31.500821253,J2000,Optical,,20.28,V,mag,J2329−2957,1.841,spec_ave,23:29:08.6839830569,-29:56:28.315527657,Optical,,19.70,V,mag,67,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Dual AGN,AM1211-465,AM1211-465NE,,X-ray Imaging / X-ray Spectroscopy,0.01849,spec,12:14:12.839,-47:13:43.42,J2000,Infared,2MASS,12.69,R,mag,AM1211-465SW,0.01848,spec,12:13:52.2951904691,-47:16:25.696718007,Optical,Gaia,12.93,R,mag,264,,Jiménez-Bailón,2007A&A...469..881J,https://doi.org/10.1051/0004-6361:20066761,Coordinates come from Simbad. NOTE: The RA listed for AM1211-465SW in Jimémenz-Bailón+ is incorrect (off by an arcmin).
