System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes
(%)Binary Quasar,J2210-3204,J2210-3204,Optical Spectroscopy / Fiber Spectroscopy / Optical Imaging,Optical Spectroscopy / Fiber Spectroscopy / Long-Slit Optical Spectroscopy / Optical Imaging,2.119,spec_ave,22:09:56.1883070950,-32:05:59.750247729,J2000,Optical,2QZ,20.81,B,mag,J2210-3204,2.119,spec_ave,22:10:13.9830383817,-32:01:59.269964955,J2000,Optical,2QZ,20.71,B,mag,330,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,
(%)Binary Quasar,J2203-3133,J2203-3133,Optical Spectroscopy / Fiber Spectroscopy / Optical Imaging,Optical Spectroscopy / Fiber Spectroscopy / Long-Slit Optical Spectroscopy / Optical Imaging,1.643,spec_ave,22:03:11.7934450383,-31:34:20.799646983,J2000,Optical,2QZ,19.75,B,mag,J2203-3133,1.643,spec_ave,22:03:07.0662998525,-31:33:15.883492504,J2000,Optical,2QZ,19.43,B,mag,89,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,
(%)Binary Quasar,J2250-3105,J2250-3105,Optical Spectroscopy / Fiber Spectroscopy / Optical Imaging,Optical Spectroscopy / Fiber Spectroscopy / Long-Slit Optical Spectroscopy / Optical Imaging,0.637,spec_ave,22:50:22.7053467347,-31:04:45.284261871,J2000,Optical,2QZ,18.40,B,mag,J2250-3105,0.637,spec_ave,22:50:41.4336812843,-31:05:14.389966054,J2000,Optical,2QZ,20.17,B,mag,242,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,
(%)Binary Quasar,J2329-2957,J2329-2957,Optical Spectroscopy / Fiber Spectroscopy / Optical Imaging,Optical Spectroscopy / Fiber Spectroscopy / Long-Slit Optical Spectroscopy / Optical Imaging,1.841,spec_ave,23:29:06.8620271901,-29:57:31.500821253,J2000,Optical,2QZ,20.28,V,mag,J2329-2957,1.841,spec_ave,23:29:08.6839830569,-29:56:28.315527657,J2000,Optical,2QZ,19.70,V,mag,67,,Miller+2004,2004MNRAS.348..395M,https://doi.org/10.1111/j.1365-2966.2004.07303.x,

Dual AGN Candidate,AM1211-465,AM1211-465NE,,X-ray Imaging / X-ray Spectroscopy,0.01849,spec,12:14:12.839,-47:13:43.42,J2000,Infared,2MASS,12.69,R,mag,AM1211-465SW,0.01848,spec,12:13:52.2951904691,-47:16:25.696718007,J2000,Optical,Gaia,12.93,R,mag,264,,Jiménez-Bailón+2007,2007A&A...469..881J,https://doi.org/10.1051/0004-6361:20066761,Coordinates come from Simbad. NOTE: The RA listed for AM1211-465SW in Jimémenz-Bailón+ is incorrect (off by an arcmin).

Recoil Candidate,3C52,3C52,X-Shaped Radio Source,,0.29000,spec NED,01:48:28.977,+53:32:35.44,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007 ; Gong+2011,2002Sci...297.1310M ; 2007MNRAS.374.1085L ; 2011ApJ...734L..32G,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x ; https://doi.org/10.1088/2041-8205/734/2/L32,Lal+07 argues that these X-shaped radio sources are most likely unresolved binaries where each BH has it's own twin jet
Recoil Candidate,3C136.1,3C136.1,X-Shaped Radio Source,,0.06401,spec NED,05:16:03.14,+24:58:25.5,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007,2002Sci...297.1310M ; 2007MNRAS.374.1085L,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x,
Recoil Candidate,3C223.1,3C223.1,X-Shaped Radio Source,,0.10750,spec NED,09:41:24.028,+39:44:41.95,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Dennett-Thorpe+2002 ; Lal+2005 ; Lal+2007 ; Gong+2011,2002Sci...297.1310M ; 2002MNRAS.330..609D ; 2005MNRAS.356..232L ; 2007MNRAS.374.1085L ; 2011ApJ...734L..32G,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1111/j.1365-2966.2004.08442.x ; https://doi.org/10.1111/j.1365-2966.2006.11225.x ; https://doi.org/10.1088/2041-8205/734/2/L32,
Recoil Candidate,3C315,3C315,X-Shaped Radio Source,,0.10830,spec NED,15:13:40.076,+26:07:31.21,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007,2002Sci...297.1310M ; 2007MNRAS.374.1085L,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x,
Recoil Candidate,3C403,3C403,X-Shaped Radio Source,,0.05900,spec NED,19:52:15.809,+02:30:24.18,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007 ; Dennett-Thorpe+2002,2002Sci...297.1310M ; 2002MNRAS.330..609D ; 2007MNRAS.374.1085L,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1111/j.1365-2966.2006.11225.x,
Recoil Candidate,3C433,3C433,X-Shaped Radio Source,,0.10160,spec NED,21:23:44.534,+25:04:11.88,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007,2002Sci...297.1310M ; 2007MNRAS.374.1085L,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x,
Recoil Candidate,4C12.03,4C12.03,X-Shaped Radio Source,,0.15600,spec NED,00:09:52.60,+12:44:04.9,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007 ; Gong+2011,2002Sci...297.1310M ; 2007MNRAS.374.1085L ; 2011ApJ...734L..32G,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x ; https://doi.org/10.1088/2041-8205/734/2/L32,
Recoil Candidate,4C48.29,4C48.29,X-Shaped Radio Source,,0.05315,spec NED,10:20:53.678,+48:31:24.18,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007,2002Sci...297.1310M ; 2007MNRAS.374.1085L,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x,
Dual AGN Candidate / AGN Recoil Candidate,B2 0055+26 (NGC 326),NGC 326 Core 1 (N),X-Shaped Radio Source / X-ray Imaging / X-ray Spectroscopy,,0.04740,spec NED,00:58:22.6,+26:51:58.7,J2000,1.4 GHz,VLA,5.33 mJy,1.4 GHz,VLA,NGC 326 Core 2 (S),0.04740,spec NED,00:58:22.9,+26:51:52.7,J2000,1.4 GHz,VLA,1.16 mJy,1.4 GHz,VLA,7.1,-99,Murgia+2001 ; Merritt+2002 ; Gopal-Krishna+2003 ; Zier+2005 ; Lal+2007 ; Hodges-Kluck+2012,2001A&A...380..102M ; 2002Sci...297.1310M ; 2003ApJ...594L.103G ; 2005MNRAS.364..583Z ; 2007MNRAS.374.1085L ; 2012ApJ...746..167H,https://ui.adsabs.harvard.edu/abs/2001A%26A...380..102M/abstract ; https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1086/378766 ; https://doi.org/10.1111/j.1365-2966.2005.09586.x ; https://doi.org/10.1111/j.1365-2966.2006.11225.x ; https://doi.org/10.1088/0004-637X/746/2/167, Redshift from NED and coordinates are from Murgia+. Murgia+ detects two radio cores with VLA 1.4 GHz imaging (and possible 4.8 GHz as well) coincident with the two dumbell components in HST imaging. Separation of 7.1''. I think the radio sources have inverted and flat radio spectra? Merritt+ Gobal-Krishna+ and Zier+ explain the X-shaped radio morphology in terms of a spin-flip after a SMBH merger (hence this is a dual AGN candidate and an AGN recoil candidate). Hodges-Kluck+ report the presence of X-ray sources in both dumbbell components. Core 1 has a power law component and an AGN is favored. In core 2 there is no clear nuclear point source but they do find a power law frozen at Gamma=2 aids the fit. Hard emission could arise from XRBs but they cannot rule out an AGN in core 2 due to the detected radio core at ~1 GHz. This is cross listed as a dual AGN candidate and a recoil candidate.
Recoil Candidate,B2 0828+32,B2 0828+32,X-Shaped Radio Source,,0.05120,spec NED,08:31:27.493,+32:19:26.84,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007,2002Sci...297.1310M ; 2007MNRAS.374.1085L,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x,
Recoil Candidate,B1059+169 (Abell 1145),B1059+169 (Abell 1145),X-Shaped Radio Source,,0.06770,spec NED,11:01:33,+16:43.9,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Merritt+2002 ; Lal+2007,2002Sci...297.1310M ; 2007MNRAS.374.1085L,https://doi.org/10.1126/science.1074688 ; https://doi.org/10.1111/j.1365-2966.2006.11225.x,
Recoil Candidate,3C 192,3C 192,X-shaped Radio Source,,0.05968,spec,08:05:35.0054956728,+24:09:50.330022516,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Lal+2007,2007MNRAS.374.1085L,https://doi.org/10.1111/j.1365-2966.2006.11225.x, 

Binary AGN Candidate / Recoil Candidate,E1821+643,E1821+643,Jet Precession / Velocity Shifted Emission Lines / Periodicity,,0.297,spec,18:21:57.2130271440,+64:20:36.221312076,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Blundell+2001 ; Robinson+2010 ; Shapovalova+2016 ; Ilić+2017,2001ApJ...562L...5B ; 2010ApJ...717L.122R ; 2016ApJS..222...25S ; 2017FrASS...4...12I,https://doi.org/10.1086/337970 ; https://doi.org/10.1088/2041-8205/717/2/L122 ; https://doi.org/10.3847/0067-0049/222/2/25 ; https://doi.org/10.3389/fspas.2017.00012,Shapovalova+ claim multiple periodicities but one of these has no physical explanation while another is based on basically one cycle. The third periodicity is observed across roughly three cycles. Shapovalova+ favors the recoil hypothesis. Robinson+ argue for a kicked SMBH based on spectropolarimetric observations. Ilic+ brings up results from Shapovalova+ and Ronbinson+ but does not appear to expand upon them; they find the source shows almost no variability.

Binary AGN Candidate,3C 279,3C 279,Jet Precession / Double Jet,,0.538,Simbad,12:56:11.16657958,-05:47:21.5251510,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Roland+2013 ; Qian+2013 ; Sandrinelli+2016 ;  Qian+2019,2013A&A...557A..85R ; 2013RAA....13..783Q ; 2016AJ....151...54S ; 2019A&A...621A..11Q,https://doi:10.1051/0004-6361/201219165 ; https://doi:10.1088/1674-4527/13/7/003 ; https://doi.org/2016AJ....151...54S ; https://doi.org/10.1051/0004-6361/201833508,Roland+2013 and Qian+2013 find evidence for jet precession after tracking motion of superluminal components. Qian+2019 suggests a double jet model and that there are two prcessing jets. Coordinates and redshift from Simbad. Sandrinelli2016 report peaks at ~910 days. This is considered one of the three most convincingly periodic sources. They also report a peak around ~260 days.
Binary AGN Candidate,1823+568,1823+568,Jet Precession,,0.664,Simbad,18:24:07.06837171,+56:51:01.4908155,J2000,Radio,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Roland+2013,2013A&A...557A..85R,https://doi:10.1051/0004-6361/201219165,

Binary AGN Candidate / Fast Jet Realignment,3C 293,3C 293,X-Shaped Radio Source,,0.04519,NA,13:52:17.842,+31:26:46.50,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,880e-3,Liu+2004 ; Machalski+2016,2004MNRAS.347.1357L ; 2016A&A...595A..46M,https://doi.org/10.1111/j.1365-2966.2004.07325.x ; https://doi:10.1051/0004-6361/201629249,Inner 4kpc lobes are tilted by 40 deg wrt the outer lobes and are only ~0.3 Myr old. Cheung+07 do not classify as winged but Dennet-Thorpe+02 says it could be a type of X-shaped wing source. Machalski+ favor a fast jet realignment explanation. Check Dennet-Thopre+02 and Merrit+02. Quoted separation is based on the optical sources.

Recoil Candidate,4C +01.30,4C +01.30,X-shaped radio source,,0.13258,spec,11:30:21.4166545416,+00:58:23.069236584,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Liu+2004,2004MNRAS.347.1357L,https://doi.org/10.1111/j.1365-2966.2004.07325.x,Liu+ to discuss a model where X-shaped radio sources evolve into DDRGs after coalescence of the binary. 
Recoil Candidate,J0116-473,J0116-473,X-shaped radio source,,0.146101,,01:16:25.0503696336,-47:22:41.107795248,J2000,Optical,GAIA,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Liu+2004,2004MNRAS.347.1357L,https://doi.org/10.1111/j.1365-2966.2004.07325.x,Liu+ to discuss a model where X-shaped radio sources evolve into DDRGs after coalescence of the binary. 

Recoil Candidate,B1834+620,B1834+620,X-shaped radio source,,0.51940,,18:35:10.921,+62:04:08.14,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Liu+2003,2003MNRAS.340..411L,https://doi.org/10.1046/j.1365-8711.2003.06235.x,Liu+ propose a model where X-shapes radio galaxies evolve into DDRGs. They use this object to derive properties of a putative binary.

Binary AGN Candidate,3C 454.3,3C 454.3,Periodicity / Quasi-Periodicity / Possible Double cores+jets,NA,0.859001,Simbad,22:53:57.7480438728,+16:08:53.561508864,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Ciaramella+2004 ; Li+2006 ; Qian+2007 ; Vol'vach+2007 ; Vol'vach+2008 ; Vol'vach+2011 ; Britzen+2012 ; Vol'vach+2013 ; Liu+2014 ; Li+2015 ; Vol'vach+2017,2004A&A...419..485C ; 2006ChJAA...6..421L ; 2007ChJAA...7..364Q ; 2007ARep...51..450V ; 2008ARep...52..867V ; 2011Ap.....54..363V ; 2012JPhCS.372a2029B ; 2013ARep...57...46V ; 2014JApA...35..203L ; 2015PASP..127....1L ; 2017ARep...61..954V,https://doi.org/10.1051/0004-6361:20035771 ; https://doi:10.1088/1009-9271/6/4/04 ;  https://doi:10.1088/1009-9271/7/3/05 ; https://doi.org/10.1134/S1063772907060030 ; https://doi.org/10.1134/S1063772908110012 ; https://doi.org/10.1007/s10511-011-9185-6 ; https://doi:10.1088/1742-6596/372/1/012029 ; https://doi.org/10.1134/S1063772912120098 ; https://doi.org/10.1007/s12036-014-9195-y ; https://doi.org/10.1134/S1063772917110075,Qian+2007 bring up a double jetted binary as a plausible hypothesis to explain the quasi periodicity but do not prefer a specific model. Coordinates from Simbad? I'm missing a DOI link here.

Binary AGN Candidate,S4 0954+658,S4 0954+658,Variability,NA,0.367,Simbad,09:58:47.2451872176,+65:33:54.819354600,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Vol'vach+2016b,2016ARep...60.1035V,https://doi.org/10.1134/S1063772916120052, Name is 6C 095456+654857 on simbad

Binary AGN Candidate,AO 0235+164,AO 0235+164,Variability / Periodicity,NA,0.94,Simbad,02:38:38.9300958576,+16:36:59.276150136,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Romero+2003 ; Ostorero+2004 ; Liu+2006 ; Rieger+2007 ; Rani+2009 ; Vol'vach+2015,2003ChJAA...3..513R ; 2004A&A...419..913O ; 2006ApJ...650..749L ; 2007Ap&SS.309..271R ; 2009ApJ...696.2170R ; 2015ARep...59..145V,https://https://doi:10.1088/1009-9271/3/6/513 ; https://doi:10.1051/0004-6361:20035813 ; https://doi:10.1086/507267 ; https://doi.org/10.1007/s10509-007-9467-y ; https://doi.org/10.1088/0004-637X/696/2/2170 ; https://doi.org/10.1134/S1063772914120117,Romero+2003 proposes a binary SMBH hypothesis to explain apparent periodicity of ~5.7 yr. Ostorero discusses helical jet model to describe variability. Liu+2006 identifies six QPOs. Rani+ identifies a 17 day periodicity but rules out a binary hypothesis on the basis that such a short period is unrealistic. Rieger+07 lists as a candidate binary in their table.

Binary AGN Candidate,S0528+134,S0528+134,Variability,NA,2.070,Simbad,05:30:56.4168902136,+13:31:55.151893344,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Vol'vach+2014,2014ARep...58...71V,https://doi.org/10.1134/S1063772914010065,

Binary AGN Candidate,1308+326,1308+326,Variability / Quasi-Periodicity,NA,0.99725,Simbad,13:10:28.6639899312,+32:20:43.774028664,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Vol'vach+2010 ; Qian+2017,2010ARep...54...28V ; 2017A&A...604A..90Q,https://doi.org/10.1134/S106377291001004X ; https://doi:10.1051/0004-6361/201630374,Swing of ejection PA of superluminal knots may be due to orbital motion.
Binary AGN Candidate,BL LAC,BL LAC,Periodicity / Variability / Jet precession,NA,0.069,Simbad,22:02:43.2913536816,+42:16:39.979416792,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Ciaramella+2004 ; Rieger+2007 ; Vol'vach+2010 ; Caproni+2013 ; Sandrinelli+2017 ; Covino+2019,2004A&A...419..485C ; 2007Ap&SS.309..271R ; 2010ARep...54...28V ; 2013MNRAS.428..280C ; 2017A&A...600A.132S ; 2019MNRAS.482.1270C,https://doi.org/10.1051/0004-6361:20035771 ; https://doi.org/10.1007/s10509-007-9467-y ; https://doi.org/10.1134/S106377291001004X ; https://doi.org/10.1093/mnras/sts014 ; https://doi.org/10.1051/0004-6361/201630288 ; https://doi.org/10.1093/mnras/sty2720,Rieger+07 lists it as a binary candidate in their table. Volvach reported Quasi-Periodicity while Caproni+ report jet precession. Sandrinelli+2017 report a periodicity of ~680 days. Covino+ argue that that there is no strong case for year-long quasi-periodicities and the power spectrum is consistent with being generated by red noise.

Binary AGN Candidate,Mrk 501,Mrk 501,Radio Morphology+Helical Model or Structure / Quasi-Periodicity,,,,16:53:52.21668403,+39:45:36.6088754,J2000,Radio,ICRF,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Conway+1995 ; Villata+1999 ; Rieger+2000 ; Rieger+2003 ; Rieger+2007 ; Bhatta+2019, 1995ApJ...439...98C ; 1999A&A...347...30V ; 2000A&A...359..948R ; 2003A&A...397..121R ; 2007Ap&SS.309..271R ; 2019MNRAS.487.3990B, NA ; https://doi.org/10.1086/175155 ; https://doi.org/10.48550/arXiv.astro-ph/0005478 ; https://doi.org/10.1051/0004-6361:20021482 ; https://doi.org/10.1007/s10509-007-9467-y ; https://doi.org/10.1093/mnras/stz1482, Conway+ applied hydrodynamic models to the misaligned jet components in Mrk 501 and found it coud be consistent with a helical jet driven by a SMBH binary. Mrk 501 shows a roughly 79 deg twist in the PA of the jet between the pc and kpc scales. They argue this is due to the orbital motion of the binary. Villata+ argue this precession structure is due to the black hole spin axis and so the helical structure is driven by one of the black holes in the binary. Bhatta+ report a 332 day QPO in this system (that persists for up to 7 cycles) and could be driven by a SMBH (among other things). Rieger+07 lists it in their table of binary candidates.

Binary AGN Candidate,PKS 2155-304,PKS 2155-304,Variability / Quasi-Periodicity,,0.116,Simbad,21:58:52.0652249880,-30:13:32.118447792,J2000,Optical,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,Rieger+2010 ; Sandrinelli+2014 ; Zhang+2014 ; Sandrinelli+2016 ; Zhang+2017 ; Sandrinelli+2018 ; Covino+2019,2010A&A...520A..23R ; 2014A&A...562A..79S ; 2014RAA....14..933Z ; 2016AJ....151...54S ; 2017ApJ...835..260Z ; 2018A&A...615A.118S ; 2019MNRAS.482.1270C,https://doi.org/10.1051/0004-6361/201014273 ; https://doi.org/10.1051/0004-6361/201321558 ; https://doi:10.1088/1674-4527/14/8/004 ; https://doi.org/10.3847/0004-6256/151/3/54 ; https://doi.org/10.3847/1538-4357/835/2/260 ; https://doi.org/10.1051/0004-6361/201732550 ; https://doi.org/10.1093/mnras/sty2720,Reiger+ discuss outburst activity in 2006 and the Quasi-Periodicity in the context of a SMBH ; Sandrinelli+2014 rreport >=3mag variability ; Sandrinelli+ report statistically significant Quasi-Periodicity using a method recommended by Vaughan+; confirms periodicity reported by Sandrinelli+2014. Zhang+ reports Quasi-Periodicity in 35 year light curves and variation in color. Sandrinelli+2016 report a peak at about 315 days confirming the previously reported peak by Sandrinelli+2014. They also report peaks around 453 days and 151 days. Zhang+2017 find a 4.9sigma significance Quasi-Periodicity in the gamma ray flux with period of ~640 days which si consistent with Sandrinelli+. Covino+ argue that that there is no strong case for year-long quasi-periodicities and the power spectrum is consistent with being generated by red noise.

****Recoil Candidate / Dual AGN Candidate,COSMOS J100043.15+020637.2 / CID-42,COSMOS J100043.15+020637.2 / CID-42,HST Imaging / Chandra X-ray Imaging / Optical Spectroscopic Analysis,,0.359,spec,10:00:43.1317731847,+02:06:37.388673197,J2000,Optical,Gaia,19.37,V,mag,COSMOS J100043.15+020637.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.495,2.46,Comerford+2009b; Civano+2010; Civano+2012; Blecha+2013; Lanzuisi+2013; Wrobel+2014; Wrobel+2014,2009ApJ...702L..82C ; 2010ApJ...717..209C ; 2012ApJ...752...49C ; 2013MNRAS.428.1341B ; 2013ApJ...778...62L ; 2014ApJ...782..116W ; 2014ApJ...784..175W,https://doi.org/10.1088/0004-637X/702/1/L82 ; https://doi.org/10.1088/0004-637X/717/1/209 ; https://doi.org/10.1088/0004-637X/752/1/49 ; https://doi.org/10.1093/mnras/sts114 ; https://doi.org/10.1088/0004-637X/778/1/62 ; https://doi.org/10.1088/0004-637X/782/2/116 ; https://doi.org/10.1088/0004-637X/784/2/175,Coordinates from the COSMOS naming convention. Separation from Civano+2010. Redshift from Civano+2010. Comerford argues in favor of a dual AGN in this system; Civano+10 argues that the system could be described by a recoiling SMBH or a dual AGN (Type I/Type II) with the Type I AGN recoiling. Blecha+13 finds the system can also be described using the recoiling / dual AGN+recoiling hypothesis. Ciavno+2012 uses Chandra HRC and finds only one of optical nuclei is responsible for whole X-ray unobscured; one of the nuclei is more consistent with a SF region and so they favor the GW recoil scenario rather than a dual AGN scenario; but a scenario involving a heavily obscured nucleus in the second nucleus cannot be fully ruled out. Lanzuisi+ analyzes the XMM spectrum to investigate the P-Cygni profile. Wrobel+14 finds no radio emission at the positions of the two nuclei; the NW nucleear properties are consistent with a CT AGN; they argue that CID-42 is either a dual AGN or a Type II CT AGN and a recoiling AGN where the recoiling AGN was ejected due to a triple SMBH interaction. NO ONE MENTIONS THE COORDINATES FOR DISTINCT NUCLEI. COORDINATES ARE FOR THE SYSTEM AS FAR BRIGHTNESS MEASUREMENTS; THESE ARE NOT FOR DISTINCT NUCLEI YET.

Recoil Candidate,CXOJ122518.6+144545,CXOJ122518.6+144545 Off Nuclear,X-ray Imaging / Optical Imaging / Fiber Spectroscopy,Optical Imaging / X-ray Imaging / X-ray Spectroscopy,-99,-99,12:25:18.650,14:45:45.76,J2000,X-ray,Chandra,26.4,g' mag,VEGA,CXOJ122518.6+144545 GALAXY,0.0447,spec,12:25:18.860,14:45:47.704,J2000,Optical,SDSS,-99,-99,-99,3.6,,Jonker+2010 ; Heida+2015,2010MNRAS.407..645J ; 2015MNRAS.454L..26H,https://doi.org/10.1111/j.1365-2966.2010.16943.x ; https://doi.org/10.1093/mnrasl/slv121,Source could be a recoiling AGN or a very blue supernova or a ULX ; Heida concludes that it is likely an outbursting HLX

Binary AGN Candidate,4C+22.25,4C+22.25,Offset Broad Optical Lines,,0.4183,spec,10:00:21.8025145008,+22:33:18.641137932,J2000,Optical,GAIA DR3,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,lim0.04-0.08e-3,Decarli+2010,2010ApJ...720L..93D,https://doi.org/10.1088/2041-8205/720/1/L93,Decarli+ identify broad lines with enormous blueshifts on the order of ~8700 km s^-1 relativeto the narrow lines. They rule out a superposition of foreground and background objects and rule out a recoil hypothesis. Range of separations 0.04pc-0.08pc is given here for now. Redshift from Decarli+ and coordinates from Simbad but come from GAIA DR3. 

Recoil Candidate,M87*,M87*,N/A,Isophotal Analysis,0.00420,spec,12:30:49.42338230,+12:23:28.0438581,J2000,Radio,Simbad,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,0,Batcheldor+2010,2010ApJ...717L...6B,https://doi.org/10.1088/2041-8205/717/1/L6,Coordinates and redshift from Simbad

Dual AGN,Mrk 739,Mrk 739W,Hard X-ray Selection,X-ray Imaging,0.02985,spec,11:36:28.93,+21:35:46.45,J2000,Optical,SDSS,,,,Mrk 739E,0.02985,spec,11:36:29.330,+21:35:45.44,J2000,Infrared,Simbad,,,,5.8,3.4,Koss+2011 ; Imanishi+2014,2011ApJ...735L..42K ; 2014ApJ...780..106I,https://doi.org/10.1088/2041-8205/735/2/L42 ; https://doi.org/10.1088/0004-637X/780/1/106,Coordinates not listed in Koss+2011 and coordinates ; coordinates for W come from SDSS navigate and coordinates for E come from Simbad. Imanishi+ find that only one nucleus is selected as an IR AGN using their near-IR color criteria.

(%)Dual AGN,SDSS J0117+0020AB,SDSS J011758.84+002021.4,Optical Spectroscopy / Fiber Spectroscopy / Optical Imaging,Optical Spectroscopy / Fiber Spectroscopy,0.61298,spec,01:17:58.837,+00:20:21.46,J2000,Optical,SDSS,-22.38,V,mag,SDSS J011757.99+002104.1,0.61341,spec,01:17:57.993,+00:21:04.12,J2000,Optical,SDSS,-24.65,V,mag,44,300,Farina+2011,2011MNRAS.415.3163F,https://doi.org/10.1111/j.1365-2966.2011.18931.x,Coordinates not provided by Farina+. This pair is drawn from the SDSS catalogs by Schneider+. Cooordinates drawn from NED instead; caution: AB may not correspond to 1 and 2 as a result.
(%)Dual AGN,SDSS J0747+4318AB,SDSS J074759.03+431805.5,Optical Spectroscopy / Fiber Spectroscopy / Optical Imaging,Optical Spectroscopy / Fiber Spectroscopy,0.50080,spec,07:47:59.027,+43:18:05.48,J2000,Optical,SDSS,-22.76,V,mag,SDSS J074759.66+431811.6,0.50141,spec,07:47:59.661,+43:18:11.60,J2000,Optical,SDSS,-22.61,V,mag,9,56,Farina+2011,2011MNRAS.415.3163F,https://doi.org/10.1111/j.1365-2966.2011.18931.x,Coordinates not provided by Farina+. This pair is drawn from the SDSS catalogs by Schneider+. Cooordinates drawn from NED instead; caution: AB may not correspond to 1 and 2 as a result.
